pre_days,post_days,final,return_pct,trades,wins,win_pct,profit_factor
670,488,5579222781.305604,55792127.813056044,4,4,100.0,inf
670,498,4500389316.40759,45003793.164075896,4,4,100.0,inf
670,508,9018845062.42596,90188350.6242596,4,4,100.0,inf
670,518,14316595559.820135,143165855.59820133,4,4,100.0,inf
670,528,19143229467.40874,191432194.6740874,4,4,100.0,inf
670,538,16355744035.501623,163557340.35501623,4,4,100.0,inf
670,548,22970677453.968555,229706674.53968558,4,4,100.0,inf
670,558,16637041491.852692,166370314.91852692,4,4,100.0,inf
670,568,15021247425.971107,150212374.2597111,4,4,100.0,inf
670,578,8157359761.099213,81573497.61099212,4,4,100.0,inf
670,588,12307305062.765213,123072950.62765214,4,4,100.0,inf
670,598,11919331834.53651,119193218.3453651,4,4,100.0,inf
670,608,8597008411.81193,85969984.1181193,4,4,100.0,inf
680,488,4945516469.760091,49455064.69760091,4,4,100.0,inf
680,498,3989220426.7594676,39892104.26759468,4,4,100.0,inf
680,508,7994455239.158681,79944452.39158681,4,4,100.0,inf
680,518,12690469964.60247,126904599.6460247,4,4,100.0,inf
680,528,16968879058.332197,169688690.58332196,4,4,100.0,inf
680,538,14498005308.872961,144979953.08872962,4,4,100.0,inf
680,548,20361593025.250027,203615830.25250027,4,4,100.0,inf
680,558,14747352083.113136,147473420.83113134,4,4,100.0,inf
680,568,13315085174.658903,133150751.74658903,4,4,100.0,inf
680,578,7230820246.764514,72308102.46764514,4,4,100.0,inf
680,588,10909401232.410316,109093912.32410315,4,4,100.0,inf
680,598,10565495268.221159,105654852.6822116,4,4,100.0,inf
680,608,7620532170.492127,76205221.70492128,4,4,100.0,inf
690,488,4447840580.247182,44478305.80247182,4,4,100.0,inf
690,498,3587778264.6536174,35877682.64653617,4,4,100.0,inf
690,508,7189959359.578192,71899493.59578192,4,4,100.0,inf
690,518,11413405988.253656,114133959.88253656,4,4,100.0,inf
690,528,15261271363.356287,152612613.6335629,4,4,100.0,inf
690,538,13039045919.621096,130390359.19621095,4,4,100.0,inf
690,548,18312570646.555428,183125606.4655543,4,4,100.0,inf
690,558,13263300496.023907,132632904.96023907,4,4,100.0,inf
690,568,11975165087.695778,119751550.87695779,4,4,100.0,inf
690,578,6503170279.320153,65031602.793201536,4,4,100.0,inf
690,588,9811569287.942764,98115592.87942764,4,4,100.0,inf
690,598,9502271176.681238,95022611.76681238,4,4,100.0,inf
690,608,6853664817.061723,68536548.17061722,4,4,100.0,inf
700,488,4234411038.438068,42344010.384380676,4,4,100.0,inf
700,498,3415618795.9580994,34156087.959580995,4,4,100.0,inf
700,508,6844949302.662969,68449393.02662969,4,4,100.0,inf
700,518,10865733928.833977,108657239.28833976,4,4,100.0,inf
700,528,14528959560.417376,145289495.60417375,4,4,100.0,inf
700,538,12413367560.416489,124133575.60416488,4,4,100.0,inf
700,548,17433842308.179558,174338323.08179557,4,4,100.0,inf
700,558,12626861285.429344,126268512.85429344,4,4,100.0,inf
700,568,11400537029.058525,114005270.29058526,4,4,100.0,inf
700,578,6191115782.766049,61911057.8276605,4,4,100.0,inf
700,588,9340761330.739042,93407513.30739042,4,4,100.0,inf
700,598,9046304883.196787,90462948.83196788,4,4,100.0,inf
700,608,6524791847.082786,65247818.47082785,4,4,100.0,inf
710,488,4290560358.131806,42905503.58131806,4,4,100.0,inf
710,498,3460910731.480008,34609007.31480008,4,4,100.0,inf
710,508,6935714994.324407,69357049.94324405,4,4,100.0,inf
710,518,11009816202.033005,110098062.02033004,4,4,100.0,inf
710,528,14721617095.968338,147216070.9596834,4,4,100.0,inf
710,538,12577971831.777641,125779618.31777641,4,4,100.0,inf
710,548,17665019295.10081,176650092.9510081,4,4,100.0,inf
710,558,12794296535.481405,127942865.35481405,4,4,100.0,inf
710,568,11551710921.369427,115517009.21369427,4,4,100.0,inf
710,578,6273211483.016187,62732014.83016186,4,4,100.0,inf
710,588,9464622096.588558,94646120.96588558,4,4,100.0,inf
710,598,9166261084.973793,91662510.84973794,4,4,100.0,inf
710,608,6611312173.057585,66113021.73057585,4,4,100.0,inf
720,488,3913519563.6568604,39135095.636568606,4,4,100.0,inf
720,498,3156776906.784841,31567669.06784841,4,4,100.0,inf
720,508,6326226425.598033,63262164.255980335,4,4,100.0,inf
720,518,10042308580.337374,100422985.80337374,4,4,100.0,inf
720,528,13427928220.271751,134279182.2027175,4,4,100.0,inf
720,538,11472659682.200544,114726496.82200544,4,4,100.0,inf
720,548,16112673598.153166,161126635.98153165,4,4,100.0,inf
720,558,11669974459.148598,116699644.59148599,4,4,100.0,inf
720,568,10536583315.698238,105365733.15698239,4,4,100.0,inf
720,578,5721941615.204407,57219316.15204407,4,4,100.0,inf
720,588,8632901217.06766,86328912.17067659,4,4,100.0,inf
720,598,8360759221.961161,83607492.2196116,4,4,100.0,inf
720,608,409683241.3428634,4096732.413428634,3,3,100.0,inf
730,488,3337109514.2587533,33370995.14258753,4,4,100.0,inf
730,498,2691825115.135079,26918151.151350785,4,4,100.0,inf
730,508,5394456332.931057,53944463.32931057,4,4,100.0,inf
730,518,8563208376.362811,85631983.76362811,4,4,100.0,inf
730,528,11450170694.631922,114501606.94631922,4,4,100.0,inf
730,538,9782887540.633524,97828775.40633523,4,4,100.0,inf
730,548,13739488327.560413,137394783.27560413,4,4,100.0,inf
730,558,9951140441.570072,99511304.41570072,4,4,100.0,inf
730,568,8984682932.756548,89846729.32756548,4,4,100.0,inf
730,578,4879174741.18598,48791647.411859795,4,4,100.0,inf
730,588,7361388212.970345,73613782.12970345,4,4,100.0,inf
